title,genres,popularity,release_date,budget,revenue,vote_count,vote_average,status,runtime,imdb_id,Metascore,imdbRating
Borderlands,"['Action', 'Science Fiction', 'Comedy']",168.37,2024-08-07,115000000,32978510,868,5.798,Released,101,tt4978420,N/A,4.6
Hijack 1971,"['Action', 'Thriller', 'Crime']",158.237,2024-06-21,0,14596787,77,6.3,Released,100,tt31624258,N/A,6.8
Avatar: The Way of Water,"['Science Fiction', 'Adventure', 'Action']",154.222,2022-12-14,460000000,2320250281,11990,7.6,Released,192,tt1630029,67,7.5
28 Days Later,"['Horror', 'Thriller', 'Science Fiction']",160.341,2002-10-31,8000000,85700000,6749,7.2,Released,113,tt0289043,73,7.5
Emilia Pérez,"['Drama', 'Thriller']",136.238,2024-08-21,26885000,8511798,426,7.881,Released,132,tt20221436,N/A,7.0
Brothers,"['Action', 'Comedy', 'Crime']",142.725,2024-10-10,0,0,207,6.027,Released,88,tt9860566,N/A,5.4
Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy']",144.3,2004-05-31,130000000,789804554,21601,8.016,Released,141,tt0304141,82,7.9
Green Book,"['Drama', 'History']",138.684,2018-11-16,23000000,319700000,11613,8.2,Released,130,tt6966692,69,8.2
Krampus,"['Horror', 'Comedy', 'Fantasy']",152.918,2015-11-26,15000000,61800000,2181,6.2,Released,98,tt3850590,49,6.2
The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']",144.458,2001-12-18,93000000,871368364,25282,8.4,Released,179,tt0120737,92,8.9
Nosferatu,"['Horror', 'Fantasy', 'Drama']",161.173,2024-12-25,0,0,7,8.2,Released,133,tt5040012,82,N/A
The Godfather,"['Drama', 'Crime']",155.451,1972-03-14,6000000,245066411,20737,8.69,Released,175,tt0068646,100,9.2
The Maze Runner,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",150.696,2014-09-10,34000000,348319861,17013,7.19,Released,113,tt1790864,57,6.8
Inside Out,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",144.254,2015-06-17,175000000,857611174,22022,7.9,Released,95,tt2096673,94,8.1
Speak No Evil,"['Horror', 'Thriller']",134.133,2024-09-11,15000000,76743256,1063,7.3,Released,110,tt27534307,N/A,6.9
Smile 2,"['Horror', 'Mystery']",570.799,2024-10-16,28000000,138083280,972,6.615,Released,127,tt29268110,N/A,6.9
Sidelined: The QB and Me,"['Comedy', 'Romance', 'TV Movie']",599.834,2024-11-29,0,0,72,6.4,Released,99,tt19704542,N/A,6.2
My Fault,"['Romance', 'Drama']",733.662,2023-06-08,0,0,3134,7.908,Released,117,tt21909764,N/A,6.2
Alien: Romulus,"['Horror', 'Science Fiction']",538.864,2024-08-13,80000000,350861031,2705,7.233,Released,119,tt18412256,N/A,7.2
Apocalypse Z: The Beginning of the End,"['Drama', 'Action', 'Horror']",592.042,2024-10-04,0,0,730,6.837,Released,119,tt27599851,N/A,6.1
Megalopolis,"['Science Fiction', 'Drama']",125.209,2024-09-25,120000000,13736293,514,5.5,Released,138,tt10128846,N/A,4.9
Scream 4,"['Horror', 'Mystery']",586.832,2011-04-13,40000000,97231420,3722,6.459,Released,111,tt1262416,52,6.2
Deadpool & Wolverine,"['Action', 'Comedy', 'Science Fiction']",692.246,2024-07-24,200000000,1338073382,5972,7.7,Released,128,tt6263850,56,7.7
Transformers One,"['Animation', 'Science Fiction', 'Adventure', 'Family']",619.919,2024-09-11,75000000,128888103,895,8.1,Released,104,tt8864596,N/A,7.6
Despicable Me 4,"['Animation', 'Family', 'Comedy', 'Science Fiction']",550.908,2024-06-20,100000000,969264325,2311,7.085,Released,94,tt7510222,52,6.2
Levels,"['Action', 'Science Fiction', 'Thriller']",408.106,2024-11-01,0,0,40,5.7,Released,92,tt10831486,N/A,5.0
Dirty Angels,"['Action', 'Drama', 'Thriller']",640.935,2024-12-11,0,0,13,5.6,Released,104,tt23872640,N/A,N/A
Arena Wars,"['Action', 'Science Fiction', 'Thriller', 'Comedy', 'Horror']",402.738,2024-06-25,0,0,31,5.4,Released,96,tt14132588,N/A,5.1
Culpa tuya,"['Drama', 'Romance']",606.467,2024-12-26,0,0,0,0.0,Post Production,0,tt28510079,N/A,N/A
GTMAX,"['Action', 'Crime', 'Drama']",452.042,2024-11-19,0,0,83,6.072,Released,100,tt29260436,N/A,5.1
How the Grinch Stole Christmas,"['Family', 'Comedy', 'Fantasy']",484.048,2000-11-17,123000000,345800000,7486,6.8,Released,104,tt0170016,46,6.3
Inside Out 2,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",595.593,2024-06-11,200000000,1698641117,5026,7.57,Released,97,tt22022452,N/A,7.6
Wicked,"['Drama', 'Romance', 'Fantasy']",660.104,2024-11-20,150000000,534094215,588,7.6,Released,160,tt1262426,73,8.0
SDI: Secret Department of Intervention,['Action'],427.999,2024-11-28,0,0,5,5.8,Released,120,tt13360220,,
Classified,"['Action', 'Thriller']",357.663,2024-09-19,0,0,97,5.9,Released,105,tt27714840,N/A,3.7
Hunting With Tigers,"['Action', 'Thriller']",315.99,2024-11-22,0,0,40,6.0,Released,109,tt28639058,N/A,N/A
Frozen,"['Animation', 'Family', 'Adventure', 'Fantasy']",151.607,2013-11-20,150000000,1274219009,16529,7.2,Released,102,tt2294629,75,7.4
The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",134.567,2008-07-16,185000000,1004558444,33024,8.5,Released,152,tt0468569,84,9.0
Wonka,"['Comedy', 'Family', 'Fantasy']",132.202,2023-12-06,125000000,632302312,3556,7.1,Released,117,tt6166392,N/A,7.0
I Saw the TV Glow,"['Drama', 'Horror']",108.399,2024-05-03,10000000,5385317,337,6.0,Released,100,tt15574270,86,5.8
Blade Runner 2049,"['Science Fiction', 'Drama']",119.243,2017-10-04,150000000,259239658,13669,7.6,Released,164,tt1856101,81,8.0
Through My Window 3: Looking at You,"['Romance', 'Drama', 'Comedy']",112.972,2024-02-23,0,0,549,6.9,Released,105,tt28105944,N/A,5.4
Camp Crasher,"['Comedy', 'Romance']",127.06,2024-12-05,0,0,22,6.8,Released,95,tt29368988,N/A,5.5
Anyone But You,"['Romance', 'Comedy']",122.919,2023-12-21,25000000,214891370,2255,6.935,Released,103,tt26047818,52,6.1
Hellboy: The Crooked Man,"['Fantasy', 'Horror', 'Action']",115.269,2024-08-29,0,1289658,307,5.3,Released,100,tt26757462,45,4.5
The Voyeur,"['Drama', 'Romance']",137.725,1994-01-27,2700000,0,205,5.5,Released,98,tt0111573,N/A,5.5
Coraline,"['Animation', 'Family', 'Fantasy']",144.561,2009-02-05,60000000,185860104,8108,7.9,Released,100,tt0327597,80,7.8
Monster Summer,"['Adventure', 'Fantasy', 'Mystery', 'Horror']",109.813,2024-10-04,0,0,43,6.4,Released,98,tt3954936,N/A,5.7
The Nightmare Before Christmas,"['Fantasy', 'Animation', 'Family']",123.716,1993-10-09,18000000,75634409,9562,7.84,Released,76,tt0107688,82,7.9
Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",120.27,2009-12-15,237000000,2923706026,31582,7.6,Released,162,tt0499549,83,7.9
Descendants: The Rise of Red,"['Fantasy', 'Adventure', 'Family', 'Comedy']",134.662,2024-07-11,0,0,374,6.933,Released,92,tt20202136,N/A,4.7
Saving Bikini Bottom: The Sandy Cheeks Movie,"['Animation', 'Comedy', 'Adventure', 'Family']",138.635,2024-10-18,100000000,0,48,6.3,Released,87,tt23063732,N/A,3.7
Longlegs,"['Horror', 'Thriller', 'Crime']",124.268,2024-07-10,10000000,126388179,1500,6.6,Released,101,tt23468450,N/A,6.7
The Convert,"['Action', 'Drama']",123.494,2024-03-14,0,692018,99,6.2,Released,119,tt20113412,N/A,6.4
Toy Story,"['Animation', 'Adventure', 'Family', 'Comedy']",116.732,1995-10-30,30000000,394436586,18416,8.0,Released,81,tt0114709,96,8.3
The Accountant,"['Crime', 'Thriller', 'Drama']",113.089,2016-10-13,44000000,155160045,6147,7.1,Released,128,tt2140479,51,7.3
The Polar Express,"['Animation', 'Adventure', 'Family', 'Fantasy']",187.94,2004-11-10,165000000,318432432,6302,6.7,Released,100,tt0338348,61,6.6
Maria,"['Drama', 'Music']",186.947,2024-11-27,0,504938,39,6.8,Released,123,tt22893404,N/A,6.7
Mary,"['Drama', 'History', 'Action']",203.246,2024-12-12,0,0,90,6.3,Released,110,tt32084246,N/A,N/A
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']",196.747,2005-12-07,180000000,745013115,10633,7.1,Released,143,tt0363771,75,6.9
Venom: Let There Be Carnage,"['Science Fiction', 'Action', 'Adventure']",191.79,2021-09-30,110000000,506863592,10300,6.8,Released,97,tt7097896,49,5.9
Do Not Enter,['Horror'],185.335,2024-08-06,550000,0,93,7.2,Released,80,tt27155283,N/A,5.5
Transmorphers: Mech Beasts,"['Action', 'Science Fiction']",195.259,2023-06-09,0,65452,31,5.484,Released,84,tt28096092,N/A,2.2
28 Days Later,"['Horror', 'Thriller', 'Science Fiction']",160.341,2002-10-31,8000000,85700000,6749,7.2,Released,113,tt0289043,73,7.5
My Grandfather's Demons,"['Animation', 'Drama', 'Fantasy']",194.037,2022-09-21,0,0,16,4.3,Released,85,tt11488024,N/A,7.2
Freedom,"['Action', 'Romance', 'Drama']",165.639,2024-11-01,0,0,74,6.6,Released,110,tt31917705,N/A,N/A
The Children's Train,['Drama'],195.536,2024-10-21,0,0,121,7.314,Released,106,tt29242846,N/A,N/A
The Shawshank Redemption,"['Drama', 'Crime']",157.014,1994-09-23,25000000,28341469,27324,8.708,Released,142,tt0111161,82,9.3
Beetlejuice Beetlejuice,"['Comedy', 'Fantasy', 'Horror']",202.352,2024-09-04,100000000,451072781,2020,7.127,Released,105,tt2049403,N/A,6.8
Civil War,"['War', 'Action', 'Drama']",179.812,2024-04-10,50000000,126185957,2908,6.898,Released,109,tt17279496,N/A,7.0
An Almost Christmas Story,"['Animation', 'Adventure', 'Fantasy', 'Family']",205.234,2024-10-14,0,0,33,7.5,Released,24,tt33395815,N/A,7.2
Moana 2,"['Animation', 'Adventure', 'Family', 'Comedy']",2947.739,2024-11-21,150000000,724506810,540,6.955,Released,100,tt13622970,N/A,N/A
Project Silence,"['Action', 'Thriller', 'Horror', 'Science Fiction']",215.296,2024-07-11,14750000,6283415,260,7.0,Released,96,tt25808194,N/A,5.5
Juror #2,"['Crime', 'Drama']",223.599,2024-10-30,30000000,18791698,713,7.0,Released,114,tt27403986,72,7.1
Canary Black,"['Action', 'Thriller', 'Crime']",186.125,2024-10-10,0,525704,300,6.377,Released,103,tt20048582,N/A,5.3
Red One,"['Action', 'Fantasy', 'Comedy']",6247.102,2024-10-31,250000000,175204878,1012,6.972,Released,124,tt14948432,N/A,6.9
Conclave,"['Thriller', 'Drama']",201.302,2024-10-25,20000000,38843309,374,7.079,Released,120,tt20215234,N/A,7.7
Mufasa: The Lion King,"['Adventure', 'Family', 'Drama', 'Animation']",2315.515,2024-12-18,200000000,3300000,57,6.7,Released,118,tt13186482,N/A,N/A
Elevation,"['Action', 'Science Fiction', 'Thriller']",1568.618,2024-11-07,0,0,178,6.354,Released,91,tt23558280,N/A,5.8
Absolution,"['Action', 'Crime', 'Thriller']",1141.57,2024-10-31,30000000,0,148,6.1,Released,112,tt8337290,51,5.2
The Price of Money: A Largo Winch Adventure,"['Action', 'Adventure', 'Thriller']",1326.991,2024-07-31,17000000,0,51,5.5,Released,100,tt23049322,N/A,N/A
The Lion King,"['Family', 'Animation', 'Drama']",186.214,1994-06-24,45000000,763455561,18328,8.3,Released,89,tt0110357,88,8.5
Sonic the Hedgehog 3,"['Science Fiction', 'Adventure', 'Comedy', 'Family']",1576.966,2024-12-14,122000000,7900000,24,7.5,Released,110,tt18259086,N/A,N/A
Heretic,"['Horror', 'Thriller']",924.249,2024-10-31,10000000,31907891,456,7.209,Released,111,tt28015403,N/A,7.3
Kraven the Hunter,"['Action', 'Adventure', 'Thriller']",1251.377,2024-12-11,110000000,28790952,143,5.8,Released,127,tt8790086,N/A,N/A
The Wild Robot,"['Animation', 'Action', 'Science Fiction', 'Family']",926.568,2024-09-08,78000000,321836235,3527,8.4,Released,102,tt29623480,85,8.2
Venom: The Last Dance,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",4610.413,2024-10-22,120000000,468513700,1726,6.782,Released,109,tt16366836,N/A,6.2
Armor,"['Action', 'Crime', 'Thriller']",851.898,2024-10-30,11500000,0,76,5.5,Released,89,tt29252358,N/A,N/A
Carry-On,"['Action', 'Mystery', 'Thriller']",1306.659,2024-12-05,0,0,594,7.0,Released,119,tt21382296,N/A,N/A
Gladiator II,"['Action', 'Adventure', 'Drama']",932.457,2024-11-05,310000000,398535658,1134,6.7,Released,148,tt9218128,64,6.9
That Christmas,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Adventure']",867.847,2024-11-27,0,0,167,7.473,Released,96,tt14855468,N/A,7.9
Weekend in Taipei,"['Action', 'Adventure', 'Thriller']",693.219,2024-09-19,30000000,2826064,77,6.1,Released,101,tt28142896,N/A,5.9
Terrifier 3,"['Horror', 'Thriller']",736.006,2024-10-09,2000000,89012340,1247,6.9,Released,125,tt27911000,N/A,6.4
Watchmen: Chapter II,"['Animation', 'Mystery', 'Science Fiction', 'Action']",681.778,2024-11-25,0,0,54,7.6,Released,89,tt32627545,N/A,N/A
Winnie-the-Pooh: Blood and Honey 2,"['Horror', 'Thriller']",143.049,2024-03-26,415000,7582541,298,6.119,Released,93,tt23330554,N/A,4.7
"Miraculous World, London: At the Edge of Time","['Animation', 'Adventure', 'Action', 'Fantasy']",705.87,2024-11-14,0,0,60,7.7,Released,50,tt13701202,N/A,8.4
The Substance,"['Horror', 'Science Fiction']",741.736,2024-09-07,17500000,54130377,2659,7.2,Released,141,tt17526714,78,7.4
Barbie,"['Comedy', 'Adventure']",152.384,2023-07-19,145000000,1445638421,9238,7.001,Released,114,tt1517268,80,6.8
Descendants of Adultery,['Romance'],142.219,2016-09-30,0,0,7,4.6,Released,92,,,
Elyas,"['Action', 'Thriller']",146.96,2024-07-03,12460000,1359330,47,6.3,Released,99,tt28336131,N/A,N/A
Operation Black Ops,"['Action', 'Thriller']",131.193,2023-07-11,0,0,41,5.5,Released,80,tt27635178,N/A,2.6
Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",132.027,2014-10-24,165000000,657870525,15617,7.7,Released,102,tt2245084,74,7.8
Puss in Boots: The Last Wish,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']",144.981,2022-12-07,90000000,484700000,7829,8.222,Released,103,tt3915174,73,7.8
The Batman,"['Crime', 'Mystery', 'Thriller']",130.845,2022-03-01,185000000,771000000,10393,7.7,Released,177,tt1877830,72,7.8
The Suicide Squad,"['Action', 'Comedy', 'Adventure']",125.15,2021-07-28,185000000,168717425,8635,7.5,Released,132,tt6334354,72,7.2
Uprising,"['Action', 'Drama', 'History']",118.133,2024-10-02,0,0,121,7.1,Released,126,tt27987046,N/A,6.6
Wonka,"['Comedy', 'Family', 'Fantasy']",132.202,2023-12-06,125000000,632302312,3556,7.1,Released,117,tt6166392,N/A,7.0
The Outrun,['Drama'],141.768,2024-09-27,0,3983828,83,6.9,Released,118,tt11687002,N/A,6.9
Pushpa 2 - The Rule,"['Crime', 'Action', 'Thriller']",160.159,2024-12-04,63000000,99000000,24,7.0,Released,198,tt16539454,N/A,6.6
Dune,"['Science Fiction', 'Adventure']",151.728,2021-09-15,165000000,407573628,12802,7.8,Released,155,tt1160419,74,8.0
The Next 365 Days,"['Romance', 'Drama']",155.207,2022-08-18,0,0,1121,6.4,Released,112,tt21106646,N/A,2.9
Kalikot,['Drama'],143.523,2024-03-12,0,0,10,6.5,Released,49,tt31539969,N/A,5.1
Top Gun: Maverick,"['Action', 'Drama']",169.839,2022-05-21,170000000,1488732821,9283,8.195,Released,131,tt1745960,78,8.2
Oppenheimer,"['Drama', 'History']",138.628,2023-07-19,100000000,952000000,9409,8.1,Released,181,tt15398776,88,8.3
Sing: Thriller,"['Animation', 'Family', 'Comedy']",245.066,2024-10-15,0,0,121,7.4,Released,11,tt33999453,N/A,6.6
Remnant,"['Science Fiction', 'Horror', 'Thriller']",217.589,2024-06-30,0,0,7,5.3,Released,112,tt15691488,N/A,6.3
Superman,"['Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Romance']",236.524,2025-07-09,0,0,0,0.0,Post Production,0,tt5950044,N/A,N/A
The Lord of the Rings: The War of the Rohirrim,"['Animation', 'Fantasy', 'Action', 'Adventure']",209.93,2024-12-05,30000000,11517844,72,6.7,Released,134,tt14824600,N/A,N/A
Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",148.919,2003-07-09,140000000,655011224,20658,7.806,Released,143,tt0325980,63,8.1
Strange Darling,"['Crime', 'Horror', 'Thriller']",132.719,2024-08-22,4000000,3504687,275,6.922,Released,97,tt22375054,80,7.1
TOGEFILM - Mei Mei,"['Drama', 'Romance']",190.768,2023-04-06,0,0,1,10.0,Released,0,,,
Cash Out,"['Action', 'Thriller']",224.881,2024-04-26,0,0,140,6.4,Released,90,tt24131288,46,4.7
Spider-Man: No Way Home,"['Action', 'Adventure', 'Science Fiction']",197.315,2021-12-15,200000000,1921847111,20217,8.0,Released,148,tt10872600,71,8.2
IF,"['Comedy', 'Fantasy', 'Family']",236.587,2024-05-08,110000000,190309707,1095,7.226,Released,104,tt11152168,N/A,6.5
365 Days: This Day,"['Romance', 'Drama']",220.496,2022-04-26,0,0,1549,5.9,Released,111,tt12996154,N/A,2.7
Godzilla x Kong: The New Empire,"['Action', 'Adventure', 'Science Fiction']",216.255,2024-03-27,150000000,571750016,3873,7.141,Released,115,tt14539740,47,6.1
Furiosa: A Mad Max Saga,"['Action', 'Science Fiction', 'Adventure']",184.388,2024-05-22,170000000,173775791,3571,7.5,Released,149,tt12037194,79,7.5
Bagman,"['Horror', 'Thriller']",216.193,2024-09-20,14500000,0,112,6.1,Released,92,tt21201300,N/A,4.7
Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy']",204.182,2001-11-16,125000000,976475550,27514,7.9,Released,152,tt0241527,65,7.6
Interstellar,"['Adventure', 'Drama', 'Science Fiction']",235.868,2014-11-05,165000000,701729206,35837,8.445,Released,169,tt0816692,74,8.7
Don't Move,"['Horror', 'Thriller']",183.728,2024-10-24,0,0,605,6.4,Released,92,tt24807110,N/A,5.8
Tuhog,"['Drama', 'Romance']",317.08,2023-11-03,0,0,3,7.0,Released,92,tt29585672,N/A,4.1
Fast X,"['Action', 'Crime', 'Thriller']",212.482,2023-05-17,340000000,704709660,5623,7.1,Released,142,tt5433140,56,5.7
Subservience,"['Science Fiction', 'Thriller', 'Horror']",318.199,2024-08-15,4400000,262793,416,6.712,Released,105,tt24871974,N/A,5.3
The Count of Monte Cristo,"['Action', 'Adventure', 'Drama']",266.654,2024-06-28,46700000,74885636,994,8.2,Released,178,tt26446278,75,7.7
Joker: Folie à Deux,"['Drama', 'Crime', 'Thriller']",268.224,2024-10-01,195000000,206400287,1860,5.5,Released,138,tt11315808,N/A,5.3
Kingdom of the Planet of the Apes,"['Science Fiction', 'Adventure', 'Action']",216.528,2024-05-08,160000000,397378150,3311,7.1,Released,145,tt11389872,N/A,6.9
Avengers: Infinity War,"['Adventure', 'Action', 'Science Fiction']",184.541,2018-04-25,300000000,2052415039,29842,8.2,Released,149,tt4154756,68,8.4
Spider-Man: Across the Spider-Verse,"['Animation', 'Action', 'Adventure', 'Science Fiction']",220.452,2023-05-31,100000000,690897910,7074,8.4,Released,140,tt9362722,86,8.6
Skin. Like. Sun.,['Romance'],251.331,2010-02-19,0,0,22,6.5,Released,60,tt1852099,N/A,4.0
Moana,"['Adventure', 'Comedy', 'Family', 'Fantasy']",302.319,2026-07-09,0,0,0,0.0,Post Production,0,tt27419466,N/A,N/A
Pimpinero: Blood and Oil,"['Action', 'Crime', 'Drama']",262.408,2024-10-10,0,0,42,7.333,Released,122,tt27660061,N/A,5.9
The Crow,"['Action', 'Fantasy', 'Horror']",300.814,2024-08-21,50000000,24008667,813,5.9,Released,111,tt1340094,N/A,4.7
Wake Up,"['Horror', 'Thriller', 'Action']",217.885,2024-05-08,0,251071,76,7.3,Released,80,tt28662887,N/A,5.6
The Garfield Movie,"['Animation', 'Comedy', 'Family', 'Adventure', 'Action']",258.536,2024-04-30,60000000,254907482,1119,7.109,Released,101,tt5779228,N/A,5.7
Dominique,"['Action', 'Thriller']",238.104,2024-10-11,0,0,83,7.5,Released,94,tt14972766,N/A,4.9
Gladiator,"['Action', 'Drama', 'Adventure']",209.114,2000-05-04,103000000,465361176,18901,8.218,Released,155,tt0172495,67,8.5
Whisper of the Witch,"['Horror', 'Thriller']",218.738,2024-06-13,0,0,14,6.393,Released,90,tt13358904,N/A,3.9
Young Hearts,"['Drama', 'Family']",247.381,2024-10-26,0,0,15,8.5,Released,100,tt15245268,N/A,8.2
Kung Fu Panda 4,"['Animation', 'Family', 'Fantasy', 'Action']",235.679,2024-03-02,80000000,548040835,2761,7.1,Released,94,tt21692408,54,6.3
OVERLORD: The Sacred Kingdom,"['Action', 'Adventure', 'Animation', 'Fantasy']",243.289,2024-09-20,0,7484876,25,7.7,Released,134,tt14603848,N/A,7.1
