title,genres,popularity,release_date,budget,revenue,vote_count,vote_average,status,runtime,imdb_id,Metascore,imdbRating
Home Alone 3,"['Comedy', 'Family']",87.454,1997-12-12,32000000,79082515,3010,5.3,Released,102,tt0119303,N/A,4.6
Your Name.,"['Animation', 'Romance', 'Drama']",86.106,2016-08-26,0,358000000,11431,8.5,Released,106,tt5311514,81,8.4
Blood for Dust,"['Action', 'Crime', 'Thriller']",80.336,2024-04-19,0,0,52,5.7,Released,98,tt10669888,N/A,5.2
Rita,['Drama'],78.355,2024-03-22,0,0,3,6.7,Released,113,tt31589922,N/A,N/A
The Family Plan,"['Action', 'Comedy']",87.481,2023-12-14,0,0,1400,7.261,Released,118,tt16431870,N/A,6.3
Kung Fu Panda,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",80.932,2008-06-04,130000000,632091832,11604,7.294,Released,90,tt0441773,74,7.6
Thor: Love and Thunder,"['Fantasy', 'Action', 'Comedy']",75.351,2022-07-06,250000000,760900000,7606,6.4,Released,119,tt10648342,57,6.2
The Little Mermaid,"['Adventure', 'Family', 'Fantasy', 'Romance']",96.047,2023-05-18,297000000,569626289,2941,6.3,Released,135,tt5971474,59,7.2
Wham!: Last Christmas Unwrapped,"['Documentary', 'Music']",100.568,2024-12-14,0,0,2,8.5,Released,59,tt34352717,N/A,N/A
Penguins of Madagascar,"['Family', 'Animation', 'Adventure', 'Comedy']",72.592,2014-11-22,132000000,373552094,4150,6.5,Released,92,tt1911658,53,6.6
Joni pata de conejo,['Action'],75.858,2024-10-11,0,0,5,6.5,Released,0,tt34136720,N/A,N/A
Gone with the Wind,"['Drama', 'War', 'Romance']",52.315,1939-12-15,4000000,402352579,4019,7.9,Released,233,tt0031381,97,8.2
Shutter Island,"['Drama', 'Thriller', 'Mystery']",101.373,2010-02-14,80000000,294804195,24003,8.2,Released,138,tt1130884,63,8.2
Scream,"['Crime', 'Horror', 'Mystery']",65.862,1996-12-20,14000000,173046663,7035,7.4,Released,112,tt0117571,65,7.4
The Twilight Saga: Breaking Dawn - Part 2,"['Adventure', 'Fantasy', 'Drama', 'Romance']",81.898,2012-11-13,120000000,829747654,8872,6.462,Released,115,tt1673434,52,5.6
Bullet Train,"['Action', 'Comedy', 'Thriller']",71.406,2022-08-03,90000000,239300000,6238,7.4,Released,126,tt12593682,49,7.3
Afraid,"['Horror', 'Science Fiction', 'Thriller']",76.313,2024-08-28,12000000,12977758,283,6.1,Released,84,tt24577462,28,5.2
Haunted Heart,"['Romance', 'Thriller']",121.71,2024-08-23,0,271682,9,5.889,Released,128,tt21881904,N/A,5.2
The Killer,"['Action', 'Thriller', 'Crime']",74.675,2024-08-22,30000000,0,315,6.5,Released,126,tt1121948,60,5.7
After Ever Happy,"['Romance', 'Drama']",82.759,2022-08-24,14000000,19200000,1220,6.798,Released,95,tt13070038,N/A,4.7
Mission: Impossible - Fallout,"['Action', 'Adventure']",59.274,2018-07-13,178000000,791658205,8212,7.4,Released,147,tt4912910,86,7.7
"Miraculous: Ladybug & Cat Noir, The Movie","['Animation', 'Fantasy', 'Action', 'Romance', 'Family']",80.768,2023-07-05,86000000,40208268,866,7.7,Released,107,tt10364034,N/A,6.1
Up,"['Animation', 'Comedy', 'Family', 'Adventure']",89.256,2009-05-28,175000000,735099082,20236,8.0,Released,96,tt1049413,88,8.3
xx xxx,[],52.429,2023-05-21,0,0,0,0.0,Released,0,,,
Maze Runner: The Scorch Trials,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",63.494,2015-09-09,61000000,312296056,10357,6.732,Released,131,tt4046784,43,6.3
PAW Patrol: The Mighty Movie,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy', 'Drama', 'Adventure']",88.766,2023-09-21,30000000,202231360,460,7.0,Released,92,tt15837338,49,5.9
Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",96.223,2010-05-16,165000000,752600867,7346,6.379,Released,93,tt0892791,58,6.3
Ghostbusters: Afterlife,"['Fantasy', 'Comedy', 'Adventure', 'Science Fiction']",51.794,2021-11-18,75000000,204334455,4620,7.4,Released,124,tt4513678,45,7.0
Raya and the Last Dragon,"['Animation', 'Family', 'Fantasy', 'Action', 'Adventure']",79.391,2021-03-03,100000000,130423032,6787,7.845,Released,107,tt5109280,74,7.3
The Princess and the Frog,"['Animation', 'Romance', 'Fantasy', 'Family']",83.188,2009-12-08,105000000,270997378,5604,7.2,Released,98,tt0780521,73,7.2
The Terminator,"['Action', 'Thriller', 'Science Fiction']",80.134,1984-10-26,6400000,78371200,13230,7.7,Released,108,tt0088247,84,8.1
How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",93.079,2014-06-05,145000000,621537519,9584,7.7,Released,102,tt1646971,77,7.8
Lady Ninja: Reflections of Darkness,[],104.883,1996-04-13,0,0,2,5.5,Released,80,tt0187224,N/A,6.1
John Wick: Chapter 3 - Parabellum,"['Action', 'Thriller', 'Crime']",81.341,2019-05-15,55000000,326709727,10629,7.447,Released,131,tt6146586,73,7.4
Mad Max,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",51.38,1979-04-12,350000,100000000,4449,6.7,Released,91,tt0079501,73,6.8
Cars 3,"['Family', 'Animation', 'Adventure', 'Comedy']",77.113,2017-06-15,175000000,383925276,5824,6.9,Released,102,tt3606752,59,6.7
Running on Empty,"['Romance', 'Comedy']",74.044,2024-08-09,0,0,11,6.7,Released,91,tt21045564,N/A,4.9
Exhuma,"['Mystery', 'Horror', 'Thriller']",72.347,2024-02-22,0,97974828,397,7.6,Released,134,tt27802490,N/A,6.9
A Quiet Place,"['Horror', 'Drama', 'Science Fiction']",76.242,2018-04-03,17000000,340955294,14190,7.4,Released,91,tt6644200,82,7.5
The Hunger Games: The Ballad of Songbirds & Snakes,"['Drama', 'Science Fiction', 'Action']",72.308,2023-11-15,100000000,337371917,2756,7.1,Released,157,tt10545296,N/A,6.7
The Imitation Game,"['History', 'Drama', 'Thriller', 'War']",72.775,2014-11-14,14000000,233600000,17013,7.998,Released,113,tt2084970,71,8.0
Back to the Future,"['Adventure', 'Comedy', 'Science Fiction']",79.48,1985-07-03,19000000,381109762,19986,8.3,Released,116,tt0088763,87,8.5
Logan,"['Action', 'Drama', 'Science Fiction']",80.736,2017-02-28,97000000,619021436,19272,7.8,Released,137,tt3315342,77,8.1
The Union,"['Action', 'Comedy']",78.846,2024-08-15,0,0,835,6.2,Released,109,tt12610390,N/A,5.4
Girl in the Basement,"['Thriller', 'Crime', 'TV Movie']",101.484,2021-02-27,0,0,701,7.7,Released,88,tt13269536,N/A,6.3
MaXXXine,"['Mystery', 'Thriller', 'Horror']",74.834,2024-07-04,1000000,22057077,826,6.4,Released,104,tt22048412,N/A,6.3
The Watchers,"['Horror', 'Mystery', 'Thriller']",75.544,2024-06-06,30000000,51147812,1048,6.5,Released,102,tt26736843,N/A,5.7
Mom's Friend,['Drama'],74.385,2015-08-20,0,0,16,6.4,Released,91,,,
Alice in Terrorland,"['Horror', 'Thriller']",72.44,2023-12-26,0,0,167,6.0,Released,77,tt22398528,N/A,2.8
The Fifth Element,"['Science Fiction', 'Action', 'Adventure']",66.387,1997-05-02,90000000,263920180,10723,7.6,Released,126,tt0119116,52,7.6
Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",67.101,2012-06-21,185000000,539000000,13354,7.0,Released,93,tt1217209,69,7.1
Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']",76.856,1991-07-03,102000000,520000000,12920,8.116,Released,137,tt0103064,75,8.6
Den of Thieves,"['Action', 'Crime', 'Thriller']",70.21,2018-01-18,30000000,80509622,2851,6.8,Released,140,tt1259528,49,7.0
Gracie & Pedro: Pets to the Rescue,"['Animation', 'Adventure', 'Comedy', 'Family']",74.536,2024-05-01,0,664443,40,6.513,Released,89,tt29258548,N/A,5.4
Sing,"['Animation', 'Comedy', 'Family', 'Music']",67.523,2016-11-23,75000000,634151679,7927,7.113,Released,108,tt3470600,59,7.1
Scarface,"['Action', 'Crime', 'Drama']",79.803,1983-12-09,25000000,66023329,11851,8.165,Released,169,tt0086250,65,8.3
Jumanji: The Next Level,"['Adventure', 'Comedy', 'Fantasy']",77.567,2019-12-04,125000000,801693929,8640,6.9,Released,123,tt7975244,58,6.7
Saving Private Ryan,"['Drama', 'History', 'War']",65.977,1998-07-24,70000000,481840909,15864,8.217,Released,169,tt0120815,91,8.6
Grown Ups 2,['Comedy'],77.476,2013-07-11,80000000,247022278,4308,6.141,Released,101,tt2191701,19,5.4
Black Panther,"['Action', 'Adventure', 'Science Fiction']",73.411,2018-02-13,200000000,1349926083,22190,7.4,Released,135,tt1825683,88,7.3
Invasion,"['Action', 'Drama', 'Thriller']",74.694,2024-04-11,0,0,14,5.0,Released,91,tt21265054,N/A,4.9
The Loft,['Thriller'],70.325,2014-10-14,14000000,10100000,1441,6.4,Released,108,tt1850397,24,6.3
Die Hard,"['Action', 'Thriller']",92.38,1988-07-15,28000000,140767956,11153,7.794,Released,132,tt0095016,72,8.2
Troy,"['Adventure', 'History', 'War']",76.393,2004-05-13,175000000,497400000,10160,7.162,Released,163,tt0332452,56,7.3
The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",72.142,2012-07-17,250000000,1081041287,22758,7.8,Released,165,tt1345836,78,8.4
Lassie: A New Adventure,"['Adventure', 'Family']",77.011,2023-07-27,0,4918295,17,6.9,Released,88,tt23023256,N/A,N/A
Prometheus,"['Science Fiction', 'Adventure', 'Mystery']",66.194,2012-05-30,130000000,403354469,12253,6.571,Released,124,tt1446714,64,7.0
The Christmas Chronicles: Part Two,"['Family', 'Fantasy', 'Adventure', 'Comedy']",88.42,2020-11-18,0,0,1037,6.463,Released,112,tt11057644,51,6.0
Lilo & Stitch,"['Animation', 'Family', 'Comedy']",75.131,2002-06-21,80000000,273144151,6216,7.5,Released,85,tt0275847,74,7.3
Grown Ups,['Comedy'],77.421,2010-06-24,80000000,271430189,6103,6.395,Released,102,tt1375670,30,6.0
The Devil's Bath,"['Horror', 'Mystery', 'History']",77.559,2024-03-08,0,0,63,6.7,Released,121,tt29141112,N/A,6.6
The Proposal,"['Comedy', 'Romance', 'Drama']",63.122,2009-06-02,40000000,317400000,6860,7.153,Released,108,tt1041829,48,6.8
Meet Me Next Christmas,"['Romance', 'Comedy']",79.614,2024-11-05,0,0,182,6.346,Released,105,tt20502488,N/A,5.5
Rebel Ridge,"['Crime', 'Action', 'Thriller', 'Drama']",83.587,2024-08-27,0,0,1036,7.002,Released,132,tt11301886,N/A,6.8
Inglourious Basterds,"['Drama', 'Thriller', 'War']",63.883,2009-08-02,70000000,321457747,22282,8.2,Released,153,tt0361748,69,8.4
The Hunger Games: Mockingjay - Part 1,"['Science Fiction', 'Adventure', 'Thriller']",72.192,2014-11-19,125000000,755356711,15783,6.812,Released,123,tt1951265,64,6.6
Shrek the Halls,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",80.058,2007-11-28,60000000,0,851,6.348,Released,28,tt0897387,N/A,6.4
Hidden Face,"['Mystery', 'Thriller']",87.254,2024-11-20,0,0,2,6.2,Released,113,tt34490115,N/A,N/A
Brooklyn 45,"['Horror', 'Thriller', 'History']",68.659,2023-03-12,0,0,37,6.0,Released,93,tt16431882,71,5.9
The Fifth Element,"['Science Fiction', 'Action', 'Adventure']",66.387,1997-05-02,90000000,263920180,10723,7.6,Released,126,tt0119116,52,7.6
Christmas on Windmill Way,"['Romance', 'Comedy', 'TV Movie']",50.86,2023-12-02,0,0,35,6.2,Released,84,tt28152535,N/A,5.8
Leo,"['Animation', 'Comedy', 'Family']",79.068,2023-11-17,0,0,1165,7.467,Released,102,tt5755238,N/A,7.0
Lift,"['Action', 'Comedy', 'Crime']",68.981,2024-01-10,0,0,1220,6.478,Released,107,tt14371878,N/A,5.5
Napoleon,"['History', 'War', 'Romance']",53.038,2023-11-22,165000000,220597098,2519,6.4,Released,158,tt13287846,N/A,6.3
1992,"['Crime', 'Thriller', 'Action']",62.367,2022-10-12,0,2,64,6.9,Released,96,tt4959750,N/A,5.7
Babylon,"['Drama', 'Comedy']",65.303,2022-12-22,78000000,63363579,3102,7.4,Released,189,tt10640346,60,7.1
A Nonsense Christmas with Sabrina Carpenter,['Music'],93.857,2024-12-06,0,0,32,7.3,Released,50,tt33427273,N/A,N/A
The Conjuring 2,['Horror'],72.426,2016-06-08,40000000,322811702,8390,7.3,Released,134,tt3065204,65,7.3
Love Lies Bleeding,"['Romance', 'Crime', 'Thriller']",78.968,2024-03-07,10000000,12777925,609,6.553,Released,104,tt19637052,N/A,6.7
Minions: The Rise of Gru,"['Animation', 'Comedy', 'Family', 'Adventure']",69.668,2022-06-29,85000000,940203765,3619,7.3,Released,87,tt5113044,56,6.5
Skinford 2: The Curse,"['Thriller', 'Action']",80.226,2024-05-20,0,0,1,2.0,Released,0,tt27303284,N/A,N/A
The Help,['Drama'],73.863,2011-08-09,25000000,216600000,8292,8.2,Released,146,tt1454029,62,8.1
Star Wars: The Rise of Skywalker,"['Adventure', 'Action', 'Science Fiction']",55.386,2019-12-18,416000000,1074144248,9910,6.313,Released,142,tt2527338,53,6.4
The Black Phone,"['Horror', 'Thriller']",84.619,2022-06-17,16000000,161440742,4935,7.592,Released,103,tt7144666,65,6.9
Furious 7,"['Action', 'Thriller', 'Crime']",77.036,2015-04-01,190000000,1515400000,10612,7.2,Released,137,tt2820852,67,7.1
Trolls Band Together,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']",84.892,2023-10-12,95000000,207318137,856,7.3,Released,91,tt14362112,N/A,6.0
Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",77.851,2015-06-06,150000000,1671537444,20335,6.7,Released,124,tt0369610,59,6.9
The First Omen,['Horror'],87.664,2024-04-03,30000000,53845880,939,6.9,Released,119,tt5672290,N/A,6.5
Scream,"['Horror', 'Mystery', 'Thriller']",84.579,2022-01-12,24000000,137743924,3315,6.67,Released,114,tt11245972,60,6.3
Luca,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",84.732,2021-06-17,200000000,51074773,8341,7.8,Released,95,tt12801262,71,7.4
The Banker,['Drama'],73.776,2020-03-06,0,0,943,7.634,Released,120,tt6285944,59,7.3
Jack in Time for Christmas,"['Comedy', 'Adventure', 'TV Movie']",59.237,2024-12-02,0,0,13,4.615,Released,66,tt34059852,N/A,N/A
Predator,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",81.582,1987-06-12,15000000,98267558,8099,7.533,Released,107,tt0093773,47,7.8
The Equalizer 2,"['Action', 'Thriller', 'Crime']",78.49,2018-07-19,62000000,190400157,5357,6.762,Released,121,tt3766354,50,6.7
The Karate Kid,"['Action', 'Drama', 'Family']",69.081,1984-06-22,8000000,130442786,4170,7.2,Released,126,tt0087538,60,7.3
Ladies' Doctor,['Comedy'],82.573,1977-09-13,0,0,12,4.2,Released,77,tt0076083,N/A,4.5
The Twilight Saga: Eclipse,"['Adventure', 'Fantasy', 'Drama', 'Romance']",72.269,2010-06-23,68000000,698491347,8734,6.2,Released,124,tt1325004,58,5.1
Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']",72.361,2011-06-11,200000000,559852396,7775,6.135,Released,106,tt1216475,57,6.2
The Simpsons Movie,"['Animation', 'Comedy', 'Family']",68.196,2007-07-25,75000000,527068851,7979,7.0,Released,87,tt0462538,80,7.3
Exorcism in Utero,['Horror'],81.928,2023-05-23,0,0,18,5.9,Released,88,tt22206842,N/A,5.1
Carved,"['Horror', 'Comedy']",56.307,2024-10-21,0,0,38,4.9,Released,94,tt32743167,N/A,4.4
The Truman Show,"['Comedy', 'Drama']",81.318,1998-06-04,60000000,264100000,18377,8.145,Released,103,tt0120382,90,8.2
The Mask,"['Romance', 'Comedy', 'Crime', 'Fantasy']",75.565,1994-07-29,23000000,351583407,10270,7.0,Released,101,tt0110475,56,7.0
Burning Betrayal,"['Drama', 'Mystery', 'Romance']",58.103,2023-10-25,0,0,167,6.21,Released,99,tt26787296,N/A,4.1
Ice Age: Dawn of the Dinosaurs,"['Animation', 'Comedy', 'Family', 'Adventure']",70.065,2009-06-26,90000000,886686817,8289,6.8,Released,94,tt1080016,50,6.9
The Twilight Saga: New Moon,"['Adventure', 'Fantasy', 'Drama', 'Romance']",67.256,2009-11-18,50000000,709827462,9178,6.0,Released,131,tt1259571,44,4.8
Emmanuelle,"['Drama', 'Romance']",65.004,2024-09-25,19000000,578924,20,5.2,Released,105,tt20247888,N/A,4.8
Bedspacer,"['Thriller', 'Drama']",81.517,2024-01-05,0,0,9,4.444,Released,106,tt30524053,N/A,4.6
Den of Thieves 2: Pantera,"['Action', 'Crime', 'Thriller']",63.554,2025-01-08,0,0,0,0.0,Post Production,144,tt8008948,N/A,N/A
Woman of the Hour,"['Crime', 'Drama', 'Thriller']",73.737,2024-10-03,0,0,503,6.455,Released,94,tt7737800,74,6.6
Van Helsing,"['Horror', 'Adventure', 'Action']",58.058,2004-05-03,160000000,300257475,5990,6.373,Released,132,tt0338526,35,6.1
Salome,"['Drama', 'Romance']",84.039,2023-05-13,0,0,1,10.0,Released,59,,,
Zuzubalândia - O Filme,['Animation'],73.26,2024-09-05,0,0,2,6.0,Released,0,,,
Cruel Intentions,"['Drama', 'Romance']",62.748,1999-03-05,10500000,76347426,3253,6.802,Released,98,tt0139134,56,6.8
Evil Dead Rise,"['Horror', 'Thriller']",72.447,2023-04-12,15000000,146700000,3107,6.9,Released,96,tt13345606,69,6.5
2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']",61.716,1968-04-02,12000000,71923560,11535,8.1,Released,149,tt0062622,84,8.3
Here,['Drama'],69.952,2024-10-30,40000000,13304166,97,6.5,Released,105,tt18272208,40,6.2
Atlas,"['Science Fiction', 'Action']",63.753,2024-05-23,100000000,0,1245,6.8,Released,120,tt14856980,N/A,5.6
Bosomy Mom 2,['Romance'],64.317,2020-05-27,0,0,5,5.2,Released,69,tt12588080,N/A,8.2
Woody Woodpecker Goes to Camp,"['Family', 'Comedy', 'Animation']",57.687,2024-04-12,15000000,0,157,6.5,Released,101,tt20221690,N/A,4.5
The Parent Trap,"['Comedy', 'Family', 'Romance']",66.382,1998-07-28,15000000,92108518,4160,7.2,Released,128,tt0120783,64,6.7
Cinderella,"['Family', 'Fantasy', 'Animation', 'Romance']",84.618,1950-02-22,2900000,263600000,6703,7.0,Released,74,tt0042332,85,7.3
A Quiet Place Part II,"['Science Fiction', 'Thriller', 'Horror']",71.883,2021-05-21,61000000,297372261,6549,7.5,Released,96,tt8332922,71,7.2
Scary Movie,['Comedy'],72.095,2000-07-07,19000000,278019771,6968,6.365,Released,88,tt0175142,48,6.3
Shazam! Fury of the Gods,"['Comedy', 'Action', 'Fantasy']",71.857,2023-03-15,125000000,134038006,3120,6.5,Released,130,tt10151854,47,5.9
Late Night with the Devil,['Horror'],85.717,2024-03-19,2000000,15453763,1207,7.2,Released,93,tt14966898,72,7.0
Baki Hanma VS Kengan Ashura,"['Animation', 'Action', 'Fantasy']",58.673,2024-06-05,0,0,277,7.6,Released,60,tt31869664,N/A,5.7
Queer,"['Drama', 'Romance']",84.546,2024-11-27,53400000,1924063,22,6.8,Released,137,tt24176060,N/A,5.6
Saw X,"['Horror', 'Mystery', 'Thriller']",49.085,2023-09-27,13000000,111823047,1959,7.239,Released,118,tt21807222,N/A,6.6
The Hobbit: The Desolation of Smaug,"['Fantasy', 'Adventure', 'Action']",64.012,2013-12-11,250000000,958400000,13156,7.575,Released,161,tt1170358,66,7.8
Uncharted,"['Action', 'Adventure']",68.064,2022-02-10,120000000,407141258,5969,6.9,Released,116,tt1464335,45,6.3
Sting,"['Horror', 'Science Fiction', 'Thriller']",88.116,2024-04-12,0,1090798,268,6.2,Released,92,tt20112746,57,5.7
Beauty and the Beast: The Enchanted Christmas,"['Animation', 'Family', 'Fantasy']",79.49,1997-11-11,0,0,1022,6.2,Released,72,tt0118692,N/A,6.0
Buffalo Kids,"['Animation', 'Adventure', 'Comedy', 'Family']",107.202,2024-08-14,0,7478666,10,6.8,Released,83,tt26530493,N/A,6.8
Christmas with the Kranks,"['Comedy', 'Family']",97.475,2004-11-24,60000000,0,1165,6.144,Released,99,tt0388419,22,5.5
WALL·E,"['Animation', 'Family', 'Science Fiction']",89.536,2008-06-22,180000000,521311860,18797,8.1,Released,98,tt0910970,95,8.4
Four Brothers,"['Action', 'Crime']",85.963,2005-08-11,45000000,92374674,2125,6.8,Released,109,tt0430105,49,6.8
28 Years Later,"['Horror', 'Science Fiction']",76.475,2025-06-16,75000000,0,0,0.0,Post Production,0,tt10548174,N/A,N/A
Morbius,"['Action', 'Science Fiction', 'Fantasy']",54.183,2022-03-30,75000000,167635712,4316,6.0,Released,105,tt5108870,35,5.1
The Fate of the Furious,"['Action', 'Crime', 'Thriller']",68.567,2017-04-12,250000000,1236000000,10262,6.9,Released,136,tt4630562,56,6.6
American Pie,"['Comedy', 'Romance']",69.222,1999-07-09,11000000,235483004,7658,6.6,Released,95,tt0163651,58,7.0
Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",72.65,2010-03-03,200000000,1025467110,13952,6.639,Released,108,tt1014759,53,6.4
Snow White and 7 Wise Men,['Comedy'],52.782,1982-04-03,0,0,13,5.0,Released,93,tt0128076,N/A,4.2
Ronny Chieng: Love to Hate It,['Comedy'],104.741,2024-12-16,0,0,5,6.8,Released,65,tt34344071,N/A,N/A
Star Wars: The Last Jedi,"['Adventure', 'Action', 'Science Fiction']",64.894,2017-12-13,200000000,1332698830,15284,6.8,Released,152,tt2527336,84,6.9
Hercules,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Romance']",77.871,1997-06-13,85000000,252712101,7405,7.5,Released,93,tt0119282,74,7.3
Mononoke the Movie: The Phantom in the Rain,"['Animation', 'Fantasy', 'Mystery', 'Horror']",82.863,2024-07-26,0,0,21,6.8,Released,91,tt32574149,N/A,N/A
Nymphomaniac: Vol. II,"['Drama', 'Mystery']",69.099,2013-12-25,0,4934725,2914,6.7,Released,124,tt2382009,60,6.6
Desire,"['Drama', 'Romance']",64.853,2011-10-06,1344000,0,1230,6.3,Released,103,tt1879030,N/A,5.4
Darkness of Man,['Action'],66.401,2024-05-07,5000000,0,147,6.6,Released,108,tt23173980,N/A,4.4
Scary Movie 3,['Comedy'],48.578,2003-10-24,48000000,220673217,4068,6.0,Released,84,tt0306047,49,5.6
The Conjuring: The Devil Made Me Do It,"['Horror', 'Mystery', 'Thriller']",68.114,2021-05-25,39000000,206431050,5916,7.425,Released,111,tt7069210,53,6.3
Rebel Moon - Part Two: The Scargiver,"['Science Fiction', 'Action']",66.207,2024-04-19,83000000,0,1164,6.1,Released,123,tt23137904,N/A,5.3
Black Hawk Down,"['Action', 'War', 'History']",57.858,2001-12-28,92000000,172989651,5731,7.386,Released,145,tt0265086,74,7.7
Zack Snyder's Justice League,"['Action', 'Adventure', 'Fantasy']",72.374,2021-03-18,70000000,0,10003,8.138,Released,242,tt12361974,54,7.9
Kingsman: The Secret Service,"['Crime', 'Comedy', 'Action', 'Adventure']",72.047,2015-01-24,81000000,414351546,16709,7.632,Released,129,tt2802144,60,7.7
The Snow Sister,"['Fantasy', 'Family', 'Adventure', 'Drama']",76.772,2024-11-28,0,0,28,7.4,Released,98,tt11092178,N/A,N/A
Wish of the Fairy Fish,"['Fantasy', 'Adventure', 'Family', 'Drama']",60.507,2023-10-26,0,25985603,23,8.1,Released,115,tt23737556,N/A,6.2
Cold Blood,"['Thriller', 'Action']",81.025,2019-05-15,2700000,0,384,5.3,Released,91,tt9082020,25,4.7
Escape Room,"['Horror', 'Thriller', 'Mystery']",48.777,2019-01-03,9000000,155712077,4664,6.542,Released,100,tt5886046,48,6.4
Arrival,"['Drama', 'Science Fiction', 'Mystery']",72.788,2016-11-10,47000000,203388186,17755,7.607,Released,116,tt2543164,81,7.9
Creation of the Gods I: Kingdom of Storms,"['Action', 'Fantasy', 'War']",80.535,2023-07-15,85000000,369081777,371,7.1,Released,148,tt6979756,N/A,6.7
Toy Story 4,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",76.268,2019-06-19,175000000,1073841394,9769,7.5,Released,100,tt1979376,84,7.6
Mayhem!,"['Action', 'Crime', 'Drama']",60.295,2023-06-28,4920000,1500000,166,6.7,Released,99,tt19319352,N/A,6.3
La La Land,"['Comedy', 'Drama', 'Romance', 'Music']",68.215,2016-11-29,30000000,447407695,16872,7.903,Released,129,tt3783958,94,8.0
One Piece Film Red,"['Animation', 'Adventure', 'Action', 'Fantasy']",68.712,2022-08-06,0,150797338,1015,7.194,Released,115,tt16183464,69,6.8
Blade Runner,"['Science Fiction', 'Drama', 'Thriller']",53.982,1982-06-25,28000000,41722424,13781,7.9,Released,118,tt0083658,84,8.1
Kingsman: The Golden Circle,"['Action', 'Adventure', 'Comedy']",70.249,2017-09-20,104000000,410902662,10352,6.966,Released,141,tt4649466,44,6.7
Beetlejuice,"['Fantasy', 'Comedy']",76.19,1988-03-30,15000000,84554197,7590,7.378,Released,92,tt0094721,70,7.5
Fly Me to the Moon,"['Romance', 'Comedy']",75.604,2024-07-10,100000000,42225354,648,6.9,Released,132,tt1896747,53,6.6
Teenage Mutant Ninja Turtles,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",65.171,2014-08-07,125000000,485000000,6772,5.919,Released,101,tt1291150,31,5.8
Hereditary,"['Horror', 'Mystery', 'Thriller']",75.451,2018-06-07,10000000,87825916,7679,7.291,Released,128,tt7784604,87,7.3
Top Gun,"['Action', 'Drama']",74.497,1986-05-16,15000000,356830601,8589,7.056,Released,110,tt0092099,50,6.9
Arthur Christmas,"['Drama', 'Animation', 'Family', 'Comedy']",68.734,2011-11-10,10000000,151300000,1474,6.8,Released,97,tt1430607,69,7.1
Thanksgiving,"['Horror', 'Mystery', 'Thriller']",56.758,2023-11-16,15000000,46553280,1219,6.6,Released,106,tt1448754,N/A,6.2
The Temptation of Kimono,"['Drama', 'Romance']",71.624,2009-03-27,0,0,18,5.8,Released,85,tt3443488,N/A,6.4
Kingdom of Heaven,"['Drama', 'Action', 'Adventure', 'History', 'War']",73.575,2005-05-03,130000000,218100001,4275,6.971,Released,144,tt0320661,63,7.3
Justice League: Crisis on Infinite Earths Part One,"['Animation', 'Science Fiction', 'Action']",58.183,2024-01-08,70000000,0,303,7.5,Released,93,tt29195117,N/A,6.2
Boy Kills World,"['Crime', 'Thriller', 'Action']",61.615,2024-04-24,18000000,3139717,570,6.8,Released,110,tt13923084,N/A,6.4
Superbad,['Comedy'],65.189,2007-03-20,20000000,170800000,7297,7.3,Released,113,tt0829482,76,7.6
Free Guy,"['Comedy', 'Adventure', 'Science Fiction']",60.803,2021-08-11,110000000,331526598,8778,7.49,Released,115,tt6264654,62,7.1
Jumanji: Welcome to the Jungle,"['Adventure', 'Comedy', 'Fantasy']",58.027,2017-12-09,90000000,995339117,13591,6.8,Released,119,tt2283362,58,7.0
Happy Feet,"['Animation', 'Comedy', 'Family']",59.351,2006-11-16,100000000,384335608,5083,6.2,Released,108,tt0366548,77,6.4
GoodFellas,"['Drama', 'Crime']",70.078,1990-09-12,25000000,46800000,12926,8.5,Released,145,tt0099685,92,8.7
Sexual Chronicles of a French Family,"['Comedy', 'Drama', 'Romance']",71.77,2012-05-09,0,0,350,5.389,Released,85,tt1753584,34,5.2
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",65.006,2013-04-18,200000000,1215577205,22170,6.9,Released,130,tt1300854,62,7.1
